
No weights directory for weights/Version_7, generating new one in 3 seconds.
No weights directory for optim_weights/Version_7, generating new one in 3 seconds.
No weights file found, generating new one during training.
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.9126269817352295, 'log_alpha': 0.0010000000474974513}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.9173216819763184, 'log_alpha': 0.0019880542531609535}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.894955039024353, 'log_alpha': 0.0029783498030155897}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8720387816429138, 'log_alpha': 0.003968376666307449}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8795188665390015, 'log_alpha': 0.0049537294544279575}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8750887513160706, 'log_alpha': 0.005934928078204393}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8633179068565369, 'log_alpha': 0.006914597004652023}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8397913575172424, 'log_alpha': 0.007898904383182526}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8434011936187744, 'log_alpha': 0.008884245529770851}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.819918155670166, 'log_alpha': 0.009865486063063145}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.8085519671440125, 'log_alpha': 0.010844320990145206}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.7864974141120911, 'log_alpha': 0.011824863962829113}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.7804315090179443, 'log_alpha': 0.012804039753973484}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.7535755634307861, 'log_alpha': 0.013783061876893044}
{'epoch': 0, 'mean_reward': 10.0, 'mean_entropy': -1.5941435, 'sup_scale': 0.7416223287582397, 'log_alpha': 0.014768581837415695}
